,Date,Score,Confirmed Cases (Ontario),New Cases (Ontario),New Cases (World),Cumulative Cases (World),New Deaths (World),Cumulative Deaths (World),Mean Temperature,Total Precipitation,Days Since First Case,Letter Score
0,2020-02-16,4,3,0,2090,69277,142,1669,1.4,0.4,20,F
1,2020-02-21,21,3,0,1044,76817,120,2249,-4.1,0.2,25,F
2,2020-02-24,17,4,1,619,79565,164,2627,5.8,1.1,28,F
3,2020-02-25,18,4,0,825,80390,83,2710,3.7,0.2,29,F
4,2020-02-26,29,5,1,927,81317,61,2771,0.4,11.8,30,F
5,2020-02-27,34,6,1,1376,82693,43,2814,-4.0,3.1,31,E
6,2020-02-29,15,8,2,1827,85951,68,2941,-8.0,1.2,33,F
7,2020-03-01,11,15,7,1880,87831,45,2986,-1.6,0.7,34,F
8,2020-03-03,21,20,5,2293,92420,79,3152,3.8,9.9,36,F
9,2020-03-05,14,22,2,2726,97343,101,3343,2.2,1.1,38,F
10,2020-03-06,25,28,6,3911,101254,113,3456,1.4,1.2,39,F
11,2020-03-07,7,28,0,3809,105063,93,3549,-0.9,1.1,40,F
12,2020-03-08,0,31,3,3931,108994,235,3784,5.9,0.5,41,F
13,2020-03-09,13,34,3,4332,113326,208,3992,12.4,0.2,42,F
14,2020-03-11,20,42,8,6315,124101,326,4583,1.5,0.2,44,F
15,2020-03-12,10,59,17,6682,130783,337,4920,3.4,0.0,45,F
16,2020-03-13,15,79,20,10153,140936,442,5362,5.8,6.2,46,F
17,2020-03-14,19,79,0,11793,152729,350,5712,2.3,0.0,47,F
18,2020-03-15,18,103,24,12472,165201,740,6452,0.9,0.8,48,F
19,2020-03-16,27,145,42,10749,175950,578,7030,0.9,1.5,49,F
20,2020-03-17,39,177,32,15523,191473,803,7833,4.9,0.4,50,E
21,2020-03-18,47,189,12,18365,209838,946,8779,1.9,2.1,51,D
22,2020-03-19,47,258,69,24256,234094,1061,9840,4.8,2.3,52,D
23,2020-03-20,57,311,53,32003,266097,1346,11186,5.9,4.6,53,C
24,2020-03-21,48,377,66,26069,292166,1598,12784,-2.9,0.9,54,D
25,2020-03-22,54,425,48,1944,294110,160,12944,-1.2,0.0,55,C
26,2020-03-23,65,503,78,40898,335008,1709,14653,2.2,12.1,56,B
27,2020-03-24,60,588,85,51862,386870,1941,16594,3.3,0.2,57,B
28,2020-03-25,65,688,100,29810,416680,1979,18573,5.7,1.0,58,B
