"","province","date","cfr","retail_recreation","grocery_pharmacy","parks","transit","workplaces","residential"
"1","Alberta",2020-03-12,0,4,29,-6,-8,2,1
"2","Alberta",2020-03-13,0,-8,30,-28,-17,-3,5
"3","Alberta",2020-03-14,0,-19,12,-45,-26,-5,7
"4","Alberta",2020-03-15,0,-18,9,-28,-25,-7,5
"5","Alberta",2020-03-16,0.78740157480315,-11,31,-13,-39,-22,9
"6","Alberta",2020-03-17,0.581395348837209,-21,17,-12,-45,-29,13
"7","Alberta",2020-03-18,0.50761421319797,-31,11,-24,-52,-35,16
"8","Alberta",2020-03-19,0.454545454545455,-35,3,-28,-56,-39,18
"9","Alberta",2020-03-20,0.408163265306122,-38,4,-9,-53,-40,19
"10","Alberta",2020-03-21,0.704225352112676,-46,-9,8,-47,-30,13
"11","Alberta",2020-03-22,0.62111801242236,-49,-21,16,-51,-34,11
"12","Alberta",2020-03-23,0.294117647058824,-43,-11,-22,-63,-46,19
"13","Alberta",2020-03-24,0.288184438040346,-48,-16,-31,-66,-49,22
"14","Alberta",2020-03-25,0.316455696202532,-47,-11,-25,-66,-50,22
"15","Alberta",2020-03-26,0.276243093922652,-47,-12,-24,-68,-51,22
"16","Alberta",2020-03-27,1.79948586118252,-48,-11,-16,-65,-50,23
"17","Alberta",2020-03-28,1.76767676767677,-55,-21,-40,-63,-40,16
"18","Alberta",2020-03-29,2.08955223880597,-55,-29,-23,-63,-41,13
"19","Alberta",2020-03-30,2.28215767634855,-50,-22,-49,-71,-52,21
"20","Alberta",2020-03-31,3.00187617260788,-51,-21,-47,-70,-53,23
"21","Alberta",2020-04-01,3.00187617260788,-47,-13,-49,-71,-53,23
"22","Alberta",2020-04-02,3.33863275039746,-49,-15,-48,-72,-53,24
"23","Alberta",2020-04-03,2.43161094224924,-51,-16,-49,-71,-52,25
"24","Alberta",2020-04-04,2.74636510500808,-53,-20,-31,-63,-42,16
"25","Alberta",2020-04-05,2.98953662182362,-57,-33,-51,-69,-43,14
"26","Alberta",2020-04-06,3.93374741200828,-47,-17,-26,-69,-52,21
"27","Alberta",2020-04-07,4.94117647058823,-48,-15,-36,-70,-53,23
"28","Alberta",2020-04-08,4.45344129554656,-45,-8,-23,-69,-53,22
"29","Alberta",2020-04-09,5.23690773067332,-36,9,-10,-67,-54,21
"30","Alberta",2020-04-10,5.72916666666667,-57,-17,-37,-77,-78,32
"31","Alberta",2020-04-11,4.42655935613682,-52,-13,-44,-64,-45,16
"32","Alberta",2020-04-12,3.31588132635253,-63,-40,-43,-67,-46,14
"33","Alberta",2020-04-13,2.54596888260255,-48,-19,-19,-71,-59,23
"34","Alberta",2020-04-14,1.2263099219621,-46,-15,-30,-69,-53,23
"35","Alberta",2020-04-15,1.10775427995972,-45,-10,-37,-70,-53,23
"36","Alberta",2020-04-16,0.768386388583974,-41,-4,-5,-67,-53,22
"37","Alberta",2020-04-17,1.10544217687075,-45,-11,-28,-67,-52,24
"38","Alberta",2020-04-18,1.06122448979592,-49,-16,-21,-56,-38,15
"39","Alberta",2020-04-19,1.28113879003559,-47,-23,21,-54,-37,11
"40","Alberta",2020-04-20,1.08834827144686,-40,-12,17,-63,-51,19
"41","Alberta",2020-04-21,1.35802469135802,-41,-11,18,-64,-51,20
"42","Alberta",2020-04-22,1.31657690005984,-42,-9,-10,-66,-51,21
"43","Alberta",2020-04-23,1.14702815432742,-42,-8,-13,-66,-51,21
"44","Alberta",2020-04-24,0.894854586129754,-44,-9,4,-63,-50,21
"45","Alberta",2020-04-25,1.08262108262108,-45,-14,6,-52,-37,13
"46","Alberta",2020-04-26,1.19047619047619,-45,-20,8,-56,-38,11
"47","Alberta",2020-04-27,1.34556574923547,-41,-13,-11,-65,-50,19
"48","Alberta",2020-04-28,1.2853470437018,-39,-8,23,-63,-51,12
"49","Alberta",2020-04-29,1.46137787056367,-39,-5,19,-64,-51,20
"50","Alberta",2020-04-30,1.71073094867807,-40,-6,-12,-65,-51,20
"51","Alberta",2020-05-01,2.54385964912281,-39,-4,19,-58,-49,20
"52","Alberta",2020-05-02,2.4928092042186,-40,-7,55,-44,-34,10
"53","Alberta",2020-05-03,3.1328320802005,-44,-20,-1,-55,-34,10
"54","Alberta",2020-05-04,3.77643504531722,-40,-11,-27,-66,-50,19
"55","Alberta",2020-05-05,4.38095238095238,-34,0,49,-60,-49,18
"56","Alberta",2020-05-06,4.51745379876797,-36,-2,20,-62,-49,19
"57","Alberta",2020-05-07,4.51745379876797,-37,-2,6,-63,-49,19
"58","Alberta",2020-05-08,2.80172413793103,-40,-2,-1,-61,-47,20
"59","Alberta",2020-05-09,2.65486725663717,-38,4,24,-50,-30,10
"60","Alberta",2020-05-10,1.8018018018018,-37,-6,-9,-55,-29,8
"61","Alberta",2020-05-11,1.59090909090909,-38,-10,2,-62,-47,17
"62","Alberta",2020-05-12,2.39808153477218,-36,-7,22,-61,-47,18
"63","Alberta",2020-05-13,2.32558139534884,-31,3,57,-58,-46,17
