"","province","date","score","cfr"
"1","Alberta",2020-03-12,0,0
"2","Alberta",2020-03-13,14,0
"3","Alberta",2020-03-14,36,0
"4","Alberta",2020-03-15,32,0
"5","Alberta",2020-03-16,20,0.78740157480315
"6","Alberta",2020-03-17,37,0.581395348837209
"7","Alberta",2020-03-18,51,0.50761421319797
"8","Alberta",2020-03-19,61,0.454545454545455
"9","Alberta",2020-03-20,57,0.408163265306122
"10","Alberta",2020-03-21,57,0.704225352112676
"11","Alberta",2020-03-22,63,0.62111801242236
"12","Alberta",2020-03-23,73,0.294117647058824
"13","Alberta",2020-03-24,83,0.288184438040346
"14","Alberta",2020-03-25,79,0.316455696202532
"15","Alberta",2020-03-26,79,0.276243093922652
"16","Alberta",2020-03-27,78,1.79948586118252
"17","Alberta",2020-03-28,85,1.76767676767677
"18","Alberta",2020-03-30,92,2.28215767634855
"19","Alberta",2020-03-31,93,3.00187617260788
"20","Alberta",2020-04-01,87,3.00187617260788
"21","Alberta",2020-04-02,90,3.33863275039746
"22","Alberta",2020-04-03,92,2.43161094224924
"23","Alberta",2020-04-04,81,2.74636510500808
"24","Alberta",2020-04-05,95,2.98953662182362
"25","Alberta",2020-04-06,82,3.93374741200828
"26","Alberta",2020-04-07,86,4.94117647058823
"27","Alberta",2020-04-08,76,4.45344129554656
"28","Alberta",2020-04-09,59,5.23690773067332
"29","Alberta",2020-04-10,100,5.72916666666667
"30","Alberta",2020-04-11,80,4.42655935613682
"31","Alberta",2020-04-12,99,3.31588132635253
"32","Alberta",2020-04-13,85,2.54596888260255
"33","Alberta",2020-04-15,82,1.10775427995972
"34","Alberta",2020-04-16,68,0.768386388583974
"35","Alberta",2020-04-17,80,1.10544217687075
"36","Alberta",2020-04-18,73,1.06122448979592
"37","Alberta",2020-04-19,63,1.28113879003559
"38","Alberta",2020-04-20,64,1.08834827144686
"39","Alberta",2020-04-22,72,1.31657690005984
"40","Alberta",2020-04-23,72,1.14702815432742
"41","Alberta",2020-04-24,68,0.894854586129754
"42","Alberta",2020-04-25,62,1.08262108262108
"43","Alberta",2020-04-26,64,1.19047619047619
"44","Alberta",2020-04-27,72,1.34556574923547
"45","Alberta",2020-04-28,55,1.2853470437018
"46","Alberta",2020-04-29,61,1.46137787056367
"47","Alberta",2020-04-30,68,1.71073094867807
"48","Alberta",2020-05-01,58,2.54385964912281
"49","Alberta",2020-05-02,41,2.4928092042186
