"","province","date","total_cases","new_cases","total_deaths","new_deaths","total_recovered","new_recovered"
"1","Alberta",2020-03-08,1,1,0,0,"N/A",NA
"2","Alberta",2020-03-09,7,6,0,0,"N/A",NA
"3","Alberta",2020-03-11,14,0,0,0,"N/A",NA
"4","Alberta",2020-03-12,19,5,0,0,"N/A",NA
"5","Alberta",2020-03-13,23,4,0,0,"N/A",NA
"6","Alberta",2020-03-14,29,6,0,0,"N/A",NA
"7","Alberta",2020-03-15,39,10,0,0,"N/A",NA
"8","Alberta",2020-03-16,56,17,0,0,"N/A",NA
"9","Alberta",2020-03-17,74,18,0,0,"N/A",NA
"10","Alberta",2020-03-18,97,23,0,0,"N/A",NA
"11","Alberta",2020-03-19,146,49,1,1,"N/A",NA
"12","Alberta",2020-03-20,195,49,1,0,"N/A",NA
"13","Alberta",2020-03-21,226,31,1,0,"N/A",NA
"14","Alberta",2020-03-22,259,33,1,0,"N/A",NA
"15","Alberta",2020-03-23,301,42,1,0,"N/A",NA
"16","Alberta",2020-03-24,358,57,2,1,"N/A",NA
"17","Alberta",2020-03-25,419,61,2,0,"N/A",NA
"18","Alberta",2020-03-26,486,67,2,0,"27",NA
"19","Alberta",2020-03-27,542,56,2,0,"27",0
"20","Alberta",2020-03-28,542,0,2,0,"53",26
"21","Alberta",2020-03-29,621,79,2,0,"73",20
"22","Alberta",2020-03-30,690,69,8,6,"94",21
"23","Alberta",2020-03-31,754,64,9,1,"120",26
"24","Alberta",2020-04-01,754,0,9,0,"142",22
"25","Alberta",2020-04-02,968,214,13,4,"174",32
"26","Alberta",2020-04-03,1075,107,18,5,"N/A",NA
"27","Alberta",2020-04-04,1075,0,18,0,"N/A",NA
"28","Alberta",2020-04-05,1250,175,23,5,"240",NA
"29","Alberta",2020-04-06,1348,98,24,1,"361",121
"30","Alberta",2020-04-07,1373,25,26,2,"",NA
"31","Alberta",2020-04-08,1423,50,29,3,"",NA
"32","Alberta",2020-04-09,1451,28,32,3,"",NA
"33","Alberta",2020-04-10,1500,49,39,7,"",NA
"34","Alberta",2020-04-11,1569,69,40,1,"",NA
"35","Alberta",2020-04-12,1651,82,44,4,"",NA
"36","Alberta",2020-04-13,1732,81,46,2,"",NA
"37","Alberta",2020-04-14,1870,138,48,2,"",NA
"38","Alberta",2020-04-15,1996,126,48,0,"",NA
"39","Alberta",2020-04-16,2158,162,50,2,"",NA
"40","Alberta",2020-04-17,2397,239,50,0,"",NA
"41","Alberta",2020-04-18,2562,165,51,1,"1162",1162
"42","Alberta",2020-04-19,2562,0,51,0,"1162",0
"43","Alberta",2020-04-20,2908,346,59,8,"1230",68
"44","Alberta",2020-04-21,3095,187,61,2,"1273",43
"45","Alberta",2020-04-22,3401,306,66,5,"1310",37
"46","Alberta",2020-04-23,3720,319,67,1,"1357",47
"47","Alberta",2020-04-24,4017,297,72,5,"1397",40
"48","Alberta",2020-04-25,4233,216,73,1,"1471",74
"49","Alberta",2020-04-26,4480,247,73,0,"1549",78
"50","Alberta",2020-04-27,4696,216,75,2,"1664",115
"51","Alberta",2020-04-28,4850,154,80,5,"1800",136
"52","Alberta",2020-04-29,5165,315,87,7,"1953",153
"53","Alberta",2020-04-30,5355,190,89,2,"2161",208
"54","Alberta",2020-05-01,5573,218,92,3,"2359",198
"55","Alberta",2020-05-02,5670,97,94,2,"2534",175
"56","Alberta",2020-05-03,5766,96,95,1,"2713",179
"57","Alberta",2020-05-04,5836,70,104,9,"2942",229
"58","Alberta",2020-05-05,5893,57,106,2,"3219",277
"59","Alberta",2020-05-06,5963,70,112,6,"3552",333
"60","Alberta",2020-05-07,6017,54,114,2,"3809",257
"61","Alberta",2020-05-08,6098,81,115,1,"4020",211
"62","Alberta",2020-05-09,6157,59,116,1,"4204",184
"63","Alberta",2020-05-10,6253,96,117,1,"4389",185
"64","Alberta",2020-05-11,6300,47,117,0,"4659",270
"65","Alberta",2020-05-12,6345,45,118,1,"4866",207
"66","Alberta",2020-05-13,6407,62,120,2,"5076",210
"67","Alberta",2020-05-14,6457,50,121,1,"5205",129
"68","Alberta",2020-05-15,6515,58,125,4,"5317",112
"69","Alberta",2020-05-16,6587,72,126,1,"5377",60
"70","Alberta",2020-05-17,6644,57,127,1,"5453",76
"71","Alberta",2020-05-18,6683,39,128,1,"5519",66
"72","Alberta",2020-05-19,6716,33,128,0,"5584",65
"73","Alberta",2020-05-20,6716,0,128,0,"5584",0
"74","Alberta",2020-05-21,6768,52,132,4,"5710",126
"75","Alberta",2020-05-22,6800,32,134,2,"5801",91
"76","Alberta",2020-05-23,6818,18,135,1,"5869",68
"77","Alberta",2020-05-24,6860,42,135,0,"5924",55
"78","Alberta",2020-05-25,6879,19,138,3,"5979",55
"79","Alberta",2020-05-26,6901,22,139,1,"6048",69
"80","Alberta",2020-05-27,6926,25,141,2,"6106",58
"81","Alberta",2020-05-28,6955,29,143,2,"6160",54
"82","Alberta",2020-05-29,6979,24,143,0,"6220",60
"83","Alberta",2020-05-30,6992,13,143,0,"6245",25
"84","Alberta",2020-05-31,7010,18,143,0,"6283",38
"85","Alberta",2020-06-01,7044,34,143,0,"6501",218
"86","Alberta",2020-06-02,7057,13,143,0,"6537",36
"87","British Columbia",2020-01-31,1,1,0,0,"N/A",NA
"88","British Columbia",2020-02-08,4,3,0,0,"N/A",NA
"89","British Columbia",2020-02-16,5,1,0,0,"N/A",NA
"90","British Columbia",2020-02-21,6,1,0,0,"N/A",NA
"91","British Columbia",2020-02-24,6,0,0,0,"N/A",NA
"92","British Columbia",2020-02-25,7,1,0,0,"N/A",NA
"93","British Columbia",2020-02-26,7,0,0,0,"N/A",NA
"94","British Columbia",2020-02-27,7,0,0,0,"N/A",NA
"95","British Columbia",2020-02-29,7,0,0,0,"N/A",NA
"96","British Columbia",2020-03-01,8,1,0,0,"N/A",NA
"97","British Columbia",2020-03-03,12,4,0,0,"N/A",NA
"98","British Columbia",2020-03-05,21,9,0,0,"N/A",NA
"99","British Columbia",2020-03-06,21,0,0,0,"N/A",NA
"100","British Columbia",2020-03-07,27,6,0,0,"N/A",NA
"101","British Columbia",2020-03-08,27,0,1,1,"N/A",NA
"102","British Columbia",2020-03-09,32,5,1,0,"N/A",NA
"103","British Columbia",2020-03-11,39,0,1,0,"N/A",NA
"104","British Columbia",2020-03-12,46,7,1,0,"N/A",NA
"105","British Columbia",2020-03-13,53,7,1,0,"N/A",NA
"106","British Columbia",2020-03-14,64,11,1,0,"N/A",NA
"107","British Columbia",2020-03-15,73,9,1,0,"N/A",NA
"108","British Columbia",2020-03-16,73,0,4,3,"N/A",NA
"109","British Columbia",2020-03-17,103,30,7,3,"N/A",NA
"110","British Columbia",2020-03-18,186,83,7,0,"N/A",NA
"111","British Columbia",2020-03-19,271,85,8,1,"N/A",NA
"112","British Columbia",2020-03-20,271,0,9,1,"N/A",NA
"113","British Columbia",2020-03-21,424,153,10,1,"N/A",NA
"114","British Columbia",2020-03-22,424,0,10,0,"N/A",NA
"115","British Columbia",2020-03-23,472,48,13,3,"N/A",NA
"116","British Columbia",2020-03-24,617,145,13,0,"N/A",NA
"117","British Columbia",2020-03-25,659,42,14,1,"N/A",NA
"118","British Columbia",2020-03-26,725,66,14,0,"186",NA
"119","British Columbia",2020-03-27,725,0,14,0,"186",0
"120","British Columbia",2020-03-28,884,159,16,2,"396",210
"121","British Columbia",2020-03-29,884,0,17,1,"396",0
"122","British Columbia",2020-03-30,960,76,19,2,"469",73
"123","British Columbia",2020-03-31,970,10,19,0,"507",38
"124","British Columbia",2020-04-01,1066,96,25,6,"606",99
"125","British Columbia",2020-04-02,1121,55,31,6,"641",35
"126","British Columbia",2020-04-03,1174,53,35,4,"641",0
"127","British Columbia",2020-04-04,1203,29,38,3,"705",64
"128","British Columbia",2020-04-05,1203,0,38,0,"704",-1
"129","British Columbia",2020-04-06,1266,63,39,1,"783",79
"130","British Columbia",2020-04-07,1291,25,43,4,"783",0
"131","British Columbia",2020-04-08,1336,45,48,5,"838",55
"132","British Columbia",2020-04-09,1370,34,50,2,"858",20
"133","British Columbia",2020-04-10,1410,40,55,5,"879",21
"134","British Columbia",2020-04-11,1445,35,58,3,"905",26
"135","British Columbia",2020-04-12,1445,0,58,0,"905",0
"136","British Columbia",2020-04-13,1490,45,69,11,"926",21
"137","British Columbia",2020-04-14,1517,27,72,3,"942",16
"138","British Columbia",2020-04-15,1561,44,75,3,"955",13
"139","British Columbia",2020-04-16,1561,0,75,0,"955",0
"140","British Columbia",2020-04-17,1575,14,77,2,"955",0
"141","British Columbia",2020-04-18,1618,43,78,1,"966",11
"142","British Columbia",2020-04-19,1618,0,78,0,"966",0
"143","British Columbia",2020-04-20,1699,81,86,8,"1039",73
"144","British Columbia",2020-04-21,1724,25,87,1,"1041",2
"145","British Columbia",2020-04-22,1795,71,90,3,"1079",38
"146","British Columbia",2020-04-23,1824,29,94,4,"1092",13
"147","British Columbia",2020-04-24,1853,29,98,4,"1114",22
"148","British Columbia",2020-04-25,1948,95,100,2,"1137",23
"149","British Columbia",2020-04-26,1948,0,100,0,"1137",0
"150","British Columbia",2020-04-27,1998,50,103,3,"1190",53
"151","British Columbia",2020-04-28,2053,55,105,2,"1231",41
"152","British Columbia",2020-04-29,2087,34,109,4,"1305",74
"153","British Columbia",2020-04-30,2112,25,111,2,"1322",17
"154","British Columbia",2020-05-01,2145,33,112,1,"1357",35
"155","British Columbia",2020-05-02,2171,26,114,2,"1376",19
"156","British Columbia",2020-05-03,2171,0,114,0,"1376",0
"157","British Columbia",2020-05-04,2224,53,117,3,"1417",41
"158","British Columbia",2020-05-05,2232,8,121,4,"1472",55
"159","British Columbia",2020-05-06,2255,23,124,3,"1494",22
"160","British Columbia",2020-05-07,2288,33,126,2,"1512",18
"161","British Columbia",2020-05-08,2315,27,127,1,"1579",67
"162","British Columbia",2020-05-09,2330,15,129,2,"1659",80
"163","British Columbia",2020-05-10,2330,0,129,0,"1659",0
"164","British Columbia",2020-05-11,2353,23,130,1,"1719",60
"165","British Columbia",2020-05-12,2360,7,131,1,"1832",113
"166","British Columbia",2020-05-13,2376,16,132,1,"1859",27
"167","British Columbia",2020-05-14,2392,16,135,3,"1885",26
"168","British Columbia",2020-05-15,2407,15,140,5,"1908",23
"169","British Columbia",2020-05-16,2428,21,141,1,"1932",24
"170","British Columbia",2020-05-17,2428,0,141,0,"1932",0
"171","British Columbia",2020-05-18,2444,16,143,2,"1966",34
"172","British Columbia",2020-05-19,2446,2,146,3,"1975",9
"173","British Columbia",2020-05-20,2467,21,149,3,"2001",26
"174","British Columbia",2020-05-21,2479,12,152,3,"2020",19
"175","British Columbia",2020-05-22,2507,28,155,3,"2042",22
"176","British Columbia",2020-05-23,2517,10,157,2,"2057",15
"177","British Columbia",2020-05-24,2517,0,157,0,"2057",0
"178","British Columbia",2020-05-25,2530,13,161,4,"2102",45
"179","British Columbia",2020-05-26,2541,11,161,0,"2122",20
"180","British Columbia",2020-05-27,2550,9,162,1,"2144",22
"181","British Columbia",2020-05-28,2558,8,164,2,"2153",9
"182","British Columbia",2020-05-29,2562,4,164,0,"2170",17
"183","British Columbia",2020-05-30,2573,11,164,0,"2181",11
"184","British Columbia",2020-05-31,2573,0,164,0,"2181",0
"185","British Columbia",2020-06-01,2597,24,165,1,"2207",26
"186","British Columbia",2020-06-02,2601,4,165,0,"2229",22
"187","Manitoba",2020-03-11,0,0,0,0,"N/A",NA
"188","Manitoba",2020-03-12,0,1,0,0,"N/A",NA
"189","Manitoba",2020-03-13,1,2,0,0,"N/A",NA
"190","Manitoba",2020-03-14,1,1,0,0,"N/A",NA
"191","Manitoba",2020-03-15,4,0,0,0,"N/A",NA
"192","Manitoba",2020-03-16,4,3,0,0,"N/A",NA
"193","Manitoba",2020-03-17,7,0,0,0,"N/A",NA
"194","Manitoba",2020-03-18,8,8,0,0,"N/A",NA
"195","Manitoba",2020-03-19,17,2,0,0,"N/A",NA
"196","Manitoba",2020-03-20,17,0,0,0,"N/A",NA
"197","Manitoba",2020-03-21,11,2,0,0,"N/A",NA
"198","Manitoba",2020-03-22,11,0,0,0,"N/A",NA
"199","Manitoba",2020-03-23,11,1,0,0,"N/A",NA
"200","Manitoba",2020-03-24,11,1,0,0,"N/A",NA
"201","Manitoba",2020-03-25,11,14,0,0,"N/A",NA
"202","Manitoba",2020-03-26,11,1,0,0,"1",NA
"203","Manitoba",2020-03-27,25,3,1,1,"1",0
"204","Manitoba",2020-03-28,25,25,1,0,"1",0
"205","Manitoba",2020-03-29,69,8,1,0,"1",0
"206","Manitoba",2020-03-30,83,24,1,0,"2",1
"207","Manitoba",2020-03-31,91,7,1,0,"4",2
"208","Manitoba",2020-04-01,109,24,1,0,"4",0
"209","Manitoba",2020-04-02,152,40,1,0,"11",7
"210","Manitoba",2020-04-03,164,15,2,1,"N/A",NA
"211","Manitoba",2020-04-04,172,12,2,0,"N/A",NA
"212","Manitoba",2020-04-05,187,9,2,0,"17",NA
"213","Manitoba",2020-04-06,190,1,2,0,"17",0
"214","Manitoba",2020-04-07,203,13,3,1,"",NA
"215","Manitoba",2020-04-08,206,4,3,0,"",NA
"216","Manitoba",2020-04-09,207,3,3,0,"",NA
"217","Manitoba",2020-04-10,215,6,4,1,"",NA
"218","Manitoba",2020-04-11,226,13,4,0,"",NA
"219","Manitoba",2020-04-12,226,-1,4,0,"",NA
"220","Manitoba",2020-04-13,229,4,4,0,"",NA
"221","Manitoba",2020-04-14,229,0,4,0,"",NA
"222","Manitoba",2020-04-15,231,0,5,1,"",NA
"223","Manitoba",2020-04-16,239,4,5,0,"",NA
"224","Manitoba",2020-04-17,239,0,5,0,"",NA
"225","Manitoba",2020-04-18,243,3,5,0,"132",132
"226","Manitoba",2020-04-19,245,0,5,0,"143",11
"227","Manitoba",2020-04-20,246,1,6,1,"143",0
"228","Manitoba",2020-04-21,246,1,6,0,"150",7
"229","Manitoba",2020-04-22,246,2,6,0,"154",4
"230","Manitoba",2020-04-23,251,5,6,0,"174",20
"231","Manitoba",2020-04-24,252,1,6,0,"196",22
"232","Manitoba",2020-04-25,256,4,6,0,"199",3
"233","Manitoba",2020-04-26,260,4,6,0,"199",0
"234","Manitoba",2020-04-27,261,1,6,0,"205",6
"235","Manitoba",2020-04-28,261,0,6,0,"209",4
"236","Manitoba",2020-04-29,263,1,6,0,"213",4
"237","Manitoba",2020-04-30,264,2,6,0,"220",7
"238","Manitoba",2020-05-01,268,4,6,0,"235",15
"239","Manitoba",2020-05-02,269,1,6,0,"236",1
"240","Manitoba",2020-05-03,270,1,6,0,"237",1
"241","Manitoba",2020-05-04,270,0,6,0,"238",1
"242","Manitoba",2020-05-05,271,1,7,1,"238",0
"243","Manitoba",2020-05-06,273,2,7,0,"242",4
"244","Manitoba",2020-05-07,272,-1,7,0,"243",1
"245","Manitoba",2020-05-08,273,1,7,0,"247",4
"246","Manitoba",2020-05-09,273,0,7,0,"247",0
"247","Manitoba",2020-05-10,276,3,7,0,"247",0
"248","Manitoba",2020-05-11,278,2,7,0,"247",0
"249","Manitoba",2020-05-12,279,1,7,0,"251",4
"250","Manitoba",2020-05-13,279,0,7,0,"251",0
"251","Manitoba",2020-05-14,278,-1,7,0,"252",1
"252","Manitoba",2020-05-15,278,0,7,0,"254",2
"253","Manitoba",2020-05-16,278,0,7,0,"257",3
"254","Manitoba",2020-05-17,278,0,7,0,"257",0
"255","Manitoba",2020-05-18,279,1,7,0,"257",0
"256","Manitoba",2020-05-19,279,0,7,0,"257",0
"257","Manitoba",2020-05-20,279,0,7,0,"257",0
"258","Manitoba",2020-05-21,279,0,7,0,"265",8
"259","Manitoba",2020-05-22,281,2,7,0,"267",2
"260","Manitoba",2020-05-23,281,0,7,0,"268",1
"261","Manitoba",2020-05-24,281,0,7,0,"268",0
"262","Manitoba",2020-05-25,281,0,7,0,"268",0
"263","Manitoba",2020-05-26,281,0,7,0,"269",1
"264","Manitoba",2020-05-27,281,0,7,0,"271",2
"265","Manitoba",2020-05-28,283,2,7,0,"273",2
"266","Manitoba",2020-05-29,283,0,7,0,"273",0
"267","Manitoba",2020-05-30,283,0,7,0,"278",5
"268","Manitoba",2020-05-31,284,1,7,0,"278",0
"269","Manitoba",2020-06-01,284,0,7,0,"278",0
"270","Manitoba",2020-06-02,286,2,7,0,"278",0
"271","New Brunswick",2020-03-11,0,0,0,0,"N/A",NA
"272","New Brunswick",2020-03-12,0,1,0,0,"N/A",NA
"273","New Brunswick",2020-03-13,1,0,0,0,"N/A",NA
"274","New Brunswick",2020-03-14,1,1,0,0,"N/A",NA
"275","New Brunswick",2020-03-15,1,0,0,0,"N/A",NA
"276","New Brunswick",2020-03-16,1,4,0,0,"N/A",NA
"277","New Brunswick",2020-03-17,2,1,0,0,"N/A",NA
"278","New Brunswick",2020-03-18,2,1,0,0,"N/A",NA
"279","New Brunswick",2020-03-19,7,3,0,0,"N/A",NA
"280","New Brunswick",2020-03-20,7,0,0,0,"N/A",NA
"281","New Brunswick",2020-03-21,9,6,0,0,"N/A",NA
"282","New Brunswick",2020-03-22,9,0,0,0,"N/A",NA
"283","New Brunswick",2020-03-23,9,0,0,0,"N/A",NA
"284","New Brunswick",2020-03-24,18,1,0,0,"N/A",NA
"285","New Brunswick",2020-03-25,26,8,0,0,"N/A",NA
"286","New Brunswick",2020-03-26,33,7,0,0,"N/A",NA
"287","New Brunswick",2020-03-27,45,12,0,0,"1",NA
"288","New Brunswick",2020-03-28,51,6,0,0,"2",1
"289","New Brunswick",2020-03-29,66,15,0,0,"2",0
"290","New Brunswick",2020-03-30,68,2,0,0,"2",0
"291","New Brunswick",2020-03-31,70,2,0,0,"9",7
"292","New Brunswick",2020-04-01,81,11,0,0,"14",5
"293","New Brunswick",2020-04-02,91,10,0,0,"22",8
"294","New Brunswick",2020-04-03,95,4,0,0,"N/A",NA
"295","New Brunswick",2020-04-04,98,3,0,0,"N/A",NA
"296","New Brunswick",2020-04-05,101,3,0,0,"28",NA
"297","New Brunswick",2020-04-06,103,2,0,0,"30",2
"298","New Brunswick",2020-04-07,105,2,0,0,"",NA
"299","New Brunswick",2020-04-08,108,3,0,0,"",NA
"300","New Brunswick",2020-04-09,111,3,0,0,"",NA
"301","New Brunswick",2020-04-10,112,1,0,0,"",NA
"302","New Brunswick",2020-04-11,112,0,0,0,"",NA
