"","province","date","retail_recreation","grocery_pharmacy","parks","transit","workplaces","residential","total","new","days_since_emergency"
"1","Alberta",2020-03-17,-21,17,-12,-45,-29,13,74,18,1
"2","Alberta",2020-03-18,-31,11,-24,-52,-35,16,97,23,2
"3","Alberta",2020-03-19,-35,3,-28,-56,-39,18,146,49,3
"4","Alberta",2020-03-20,-38,4,-9,-53,-40,19,195,49,4
"5","Alberta",2020-03-21,-46,-9,8,-47,-30,13,226,31,5
"6","Alberta",2020-03-22,-49,-21,16,-51,-34,11,259,33,6
"7","Alberta",2020-03-23,-43,-11,-22,-63,-46,19,301,42,7
"8","Alberta",2020-03-24,-48,-16,-31,-66,-49,22,358,57,8
"9","Alberta",2020-03-25,-47,-11,-25,-66,-50,22,419,61,9
"10","Alberta",2020-03-26,-47,-12,-24,-68,-51,22,486,67,10
"11","Alberta",2020-03-27,-48,-11,-16,-65,-50,23,542,56,11
"12","Alberta",2020-03-28,-55,-21,-40,-63,-40,16,542,0,12
"13","Alberta",2020-03-29,-55,-29,-23,-63,-41,13,621,79,13
"14","Alberta",2020-03-30,-50,-22,-49,-71,-52,21,690,69,14
"15","Alberta",2020-03-31,-51,-21,-47,-70,-53,23,754,64,15
"16","Alberta",2020-04-01,-47,-13,-49,-71,-53,23,754,0,16
"17","Alberta",2020-04-02,-49,-15,-48,-72,-53,24,968,214,17
"18","Alberta",2020-04-03,-51,-16,-49,-71,-52,25,1075,107,18
"19","Alberta",2020-04-04,-53,-20,-31,-63,-42,16,1075,0,19
"20","Alberta",2020-04-05,-57,-33,-51,-69,-43,14,1250,175,20
"21","Alberta",2020-04-06,-47,-17,-26,-69,-52,21,1348,98,21
"22","Alberta",2020-04-07,-48,-15,-36,-70,-53,23,1373,25,22
"23","Alberta",2020-04-08,-45,-8,-23,-69,-53,22,1423,50,23
"24","Alberta",2020-04-09,-36,9,-10,-67,-54,21,1451,28,24
"25","Alberta",2020-04-10,-57,-17,-37,-77,-78,32,1500,49,25
"26","Alberta",2020-04-11,-52,-13,-44,-64,-45,16,1569,69,26
"27","Alberta",2020-04-12,-63,-40,-43,-67,-46,14,1651,82,27
"28","Alberta",2020-04-13,-48,-19,-19,-71,-59,23,1732,81,28
"29","Alberta",2020-04-14,-46,-15,-30,-69,-53,23,1870,138,29
"30","Alberta",2020-04-15,-45,-10,-37,-70,-53,23,1996,126,30
"31","Alberta",2020-04-16,-41,-4,-5,-67,-53,22,2158,162,31
"32","Alberta",2020-04-17,-45,-11,-28,-67,-52,24,2397,239,32
"33","Alberta",2020-04-18,-49,-16,-21,-56,-38,15,2562,165,33
"34","Alberta",2020-04-19,-47,-23,21,-54,-37,11,2562,0,34
"35","Alberta",2020-04-20,-40,-12,17,-63,-51,19,2908,346,35
"36","Alberta",2020-04-21,-41,-11,18,-64,-51,20,3095,187,36
"37","Alberta",2020-04-22,-42,-9,-10,-66,-51,21,3401,306,37
"38","Alberta",2020-04-23,-42,-8,-13,-66,-51,21,3720,319,38
"39","Alberta",2020-04-24,-44,-9,4,-63,-50,21,4017,297,39
"40","Alberta",2020-04-25,-45,-14,6,-52,-37,13,4233,216,40
"41","Alberta",2020-04-26,-45,-20,8,-56,-38,11,4480,247,41
"42","Alberta",2020-04-27,-41,-13,-11,-65,-50,19,4696,216,42
"43","Alberta",2020-04-28,-39,-8,23,-63,-51,12,4850,154,43
"44","Alberta",2020-04-29,-39,-5,19,-64,-51,20,5165,315,44
